scancode,ArtistName1,title,Category,DimensionsWithUnit,Medium,RetailPrice
"ROB 09-01,Roberto STEPHENSON,MACHIN JWET,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-02,Roberto STEPHENSON,CHEZ,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-03,Roberto STEPHENSON,TAB SOSIS,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-04,Roberto STEPHENSON,PWES KAWOUTCHOU AK GRAJ CHANM,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-05,Roberto STEPHENSON,VANTILATE FOJ,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-06,Roberto STEPHENSON,PONP OFEV,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-07,Roberto STEPHENSON,APAREY SOUDI ELEKTRIK,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-08,Roberto STEPHENSON,BWAT ZOUTI BOS MEKANISYEN,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-09,Roberto STEPHENSON,BIZNIS KONPRIME,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-10,Roberto STEPHENSON,BOUWET,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-11,Roberto STEPHENSON,BIFET VANT AK REPARASYON TELEFON,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-12,Roberto STEPHENSON,TI BWOS MOUYE,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-13,Roberto STEPHENSON,KINWA DEGOUTEZ,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-14,Roberto STEPHENSON,CHARET MACHANN GLAS,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-15,Roberto STEPHENSON,TRETO AK BAK KOMESTIK,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-16,Roberto STEPHENSON,ANTENWA,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-17,Roberto STEPHENSON,BIFET TELEFON,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-18,Roberto STEPHENSON,TRETO BIZNIS ALIMANTE,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-19,Roberto STEPHENSON,TRETO KOMESTIK,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-20,Roberto STEPHENSON,MEB KODONYE,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-21,Roberto STEPHENSON,PANYE ZABOKA,Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-22,Roberto STEPHENSON,BOUWET KREM MAYI,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-23,Roberto STEPHENSON,MACHIN JWET,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-24,Roberto STEPHENSON,""TET GRIDAP,BOBECH"",Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-25,Roberto STEPHENSON,BOUWET BWA,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-26,Roberto STEPHENSON,""BAK ASOSI,BOUTIK KLEREN,FAMASI KLEREN,BIVET KLERET"",Photograph,""40"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-27,Roberto STEPHENSON,TI BAN FANM DOUS,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-28,Roberto STEPHENSON,TAB VANT AK REPARASYON TELEFON,Photograph,""30"""" x 40"""""",Acrylic Prints on Dibond,950"
"ROB 09-29,Roberto STEPHENSON,BWAT KODONYE,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-30,Roberto STEPHENSON,KOBEY FIG,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-31,Roberto STEPHENSON,BWAT CHANY,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-32,Roberto STEPHENSON,TI BAN CHANY,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-33,Roberto STEPHENSON,BOUL FOUTBOL,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-34,Roberto STEPHENSON,LO PATAT DOUS,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-35,Roberto STEPHENSON,PANYE,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-36,Roberto STEPHENSON,""REMOULE,MACHIN FILE KOUTO,KAD  BWA"",Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-37,Roberto STEPHENSON,KES,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
"ROB 09-38,Roberto STEPHENSON,PWES KAOUTCHOU,Photograph,""30"""" x 30"""""",Acrylic Prints on Dibond,950"
